嗚呼,ああ
仕上がり,しあがり
仕上げ,しあげ
仕上げる,しあげる
明々後日,しあさって
飼育,しいく
強いて,しいて
強いる,しいる
強いる,しいる
仕入れる,しいれる
塩,しお
歯科,しか
市街,しがい
視覚,しかく
視覚,しかく
自覚,じかく
仕掛け,しかけ
仕掛け,しかけ
仕掛け,しかけ
然し,しかし
然しながら,しかしながら
地方,じかた
然も,しかも
指揮,しき
磁器,じき
色彩,しきさい
色彩,しきさい
式場,しきじょう
仕来たり,しきたり
事業,じぎょう
頻りに,しきりに
仕切る,しきる
資金,しきん
軸,じく
しくじる,しくじる
死刑,しけい
湿気る,しける
自己,じこ
嗜好,しこう
思考,しこう
施行,しこう
地獄,じごく
時刻表,じこくひょう
時差,じさ
自在,じざい
視察,しさつ
視察,しさつ
資産,しさん
指示,しじ
支持,しじ
自主,じしゅ
自首,じしゅ
刺繍,ししゅう
自信,じしん
システム,システム
沈める,しずめる
沈める,しずめる
施設,しせつ
事前,じぜん
子息,しそく
持続,じぞく
自尊心,じそんしん
字体,じたい
従って,したがって
下心,したごころ
下地,したじ
下調べ,したしらべ
認める,したためる
仕立てる,したてる
下取り,したどり
下火,したび
室,しつ
実,じつ
実,じつ
失格,しっかく
確り,しっかり
質疑,しつぎ
実業家,じつぎょうか
シック,シック
じっくり,じっくり
躾,しつけ
仕付ける,しつける
質素,しっそ
実態,じったい
失調,しっちょう
嫉妬,しっと
実費,じっぴ
１０分,じっぷん
尻尾,しっぽ
指摘,してき
自転,じてん
自動詞,じどうし
萎びる,しなびる
嫋か,しなやか
シナリオ,シナリオ
し尿,しにょう
地主,じぬし
凌ぐ,しのぐ
芝,しば
屡々,しばしば
始発,しはつ
暫く,しばらく
耳鼻科,じびか
痺れる,しびれる
渋い,しぶい
私物,しぶつ
しぶとい,しぶとい
司法,しほう
志望,しぼう
脂肪,しぼう
萎む,しぼむ
仕舞い,しまい
姉妹,しまい
仕舞う,しまう
始末,しまつ
仕舞った,しまった
沁み沁み,しみじみ
染みる,しみる
使命,しめい
締め切り,しめきり
地元,じもと
僕,しもべ
視野,しや
弱,じゃく
社交,しゃこう
ジャズ,ジャズ
謝絶,しゃぜつ
社宅,しゃたく
若干,じゃっかん
吃逆,しゃっくり
喋る,しゃべる
洒落,しゃらく
砂利,じゃり
洒落る,しゃれる
じゃん拳,じゃんけん
ジャンパー,ジャンパー
ジャンプ,ジャンプ
ジャンボ,ジャンボ
ジャンル,ジャンル
種,しゅ
周,しゅう
私有,しゆう
衆,しゅう
住,じゅう
銃,じゅう
収益,しゅうえき
収益,しゅうえき
修学,しゅうがく
周期,しゅうき
衆議院,しゅうぎいん
就業,しゅうぎょう
従業員,じゅうぎょういん
集計,しゅうけい
修士,しゅうし
収支,しゅうし
終始,しゅうし
終始,しゅうし
従事,じゅうじ
終日,しゅうじつ
終日,しゅうじつ
収集,しゅうしゅう
修飾,しゅうしょく
十字路,じゅうじろ
絨毯,じゅうたん
執着,しゅうちゃく
柔軟,じゅうなん
重役,じゅうやく
収容,しゅうよう
修了,しゅうりょう
主演,しゅえん
主観,しゅかん
修行,しゅぎょう
塾,じゅく
祝賀,しゅくが
宿命,しゅくめい
手芸,しゅげい
主権,しゅけん
主催,しゅさい
取材,しゅざい
趣旨,しゅし
種々,しゅじゅ
種々,しゅじゅ
種々,しゅじゅ
主食,しゅしょく
主人公,しゅじんこう
主題,しゅだい
出演,しゅつえん
出血,しゅっけつ
出社,しゅっしゃ
出生,しゅっしょう
出世,しゅっせ
出題,しゅつだい
守備,しゅび
手法,しゅほう
樹木,じゅもく
準急,じゅんきゅう
準じる,じゅんじる
準ずる,じゅんずる
諸,しょ
助,じょ
ショー,ショー
仕様,しよう
商,しょう
症,しょう
私用,しよう
象,しょう
嬢,じょう
尉,じょう
情,じょう
情,じょう
状,じょう
状,じょう
畳,じょう
上演,じょうえん
城下,じょうか
乗客,じょうきゃく
消去,しょうきょ
衝撃,しょうげき
証言,しょうげん
証拠,しょうこ
照合,しょうごう
詳細,しょうさい
上司,じょうし
少女,しょうじょ
上昇,じょうしょう
昇進,しょうしん
少数,しょうすう
情勢,じょうせい
情勢,じょうせい
消息,しょうそく
承諾,しょうだく
象徴,しょうちょう
象徴,しょうちょう
小児科,しょうにか
使用人,しようにん
商人,しょうにん
証人,しょうにん
情熱,じょうねつ
情熱,じょうねつ
丈夫,じょうふ
